"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"AppleHealthKitSample.device.modifierExtension","AppleHealthKitSample.device.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.device.udiDeviceIdentifier","AppleHealthKitSample.device.udiDeviceIdentifier","","","",0,1,"","","","string {[]} {[]}
","The device identifier portion of the US Food and Drug Administration’s Unique Device Identifier (UDI).","The device identifier portion of the US Food and Drug Administration’s Unique Device Identifier (UDI).","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.udiDeviceIdentifier",0,1,"",""
"AppleHealthKitSample.device.firmwareVersion","AppleHealthKitSample.device.firmwareVersion","","","",0,1,"","","","string {[]} {[]}
","An arbitrary string representing the current version of the firmware running on the device.","An arbitrary string representing the current version of the firmware running on the device.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.firmwareVersion",0,1,"",""
"AppleHealthKitSample.device.hardwareVersion","AppleHealthKitSample.device.hardwareVersion","","","",0,1,"","","","string {[]} {[]}
","An arbitrary string representing the hardware version of the device.","An arbitrary string representing the hardware version of the device.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.hardwareVersion",0,1,"",""
"AppleHealthKitSample.device.localIdentifier","AppleHealthKitSample.device.localIdentifier","","","",0,1,"","","","string {[]} {[]}
","An identifier that uniquely identifies the device object on the hardware running this code.","An identifier that uniquely identifies the device object on the hardware running this code.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.localIdentifier",0,1,"",""
"AppleHealthKitSample.device.manufacturer","AppleHealthKitSample.device.manufacturer","","","",0,1,"","","","string {[]} {[]}
","A string representing the device’s manufacturer.","A string representing the device’s manufacturer.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.manufacturer",0,1,"",""
"AppleHealthKitSample.device.model","AppleHealthKitSample.device.model","","","",0,1,"","","","string {[]} {[]}
","A string representing the device’s model.","A string representing the device’s model.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.model",0,1,"",""
"AppleHealthKitSample.device.name","AppleHealthKitSample.device.name","","","",0,1,"","","","string {[]} {[]}
","The user-facing name for the device.","The user-facing name for the device.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.name",0,1,"",""
"AppleHealthKitSample.device.softwareVersion","AppleHealthKitSample.device.softwareVersion","","","",0,1,"","","","string {[]} {[]}
","An arbitrary string representing the version of the software running on the device.","An arbitrary string representing the version of the software running on the device.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.device.softwareVersion",0,1,"",""
"AppleHealthKitSample.sourceRevision","AppleHealthKitSample.sourceRevision","","","",1,1,"","","","BackboneElement {[]} {[]}
","The app or device that created this object.","The app or device that created this object.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"AppleHealthKitSample.sourceRevision.id","AppleHealthKitSample.sourceRevision.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"AppleHealthKitSample.sourceRevision.extension","AppleHealthKitSample.sourceRevision.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.modifierExtension","AppleHealthKitSample.sourceRevision.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.source","AppleHealthKitSample.sourceRevision.source","","","",1,1,"","","","BackboneElement {[]} {[]}
","The source for a sample.","The source for a sample.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.source",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"AppleHealthKitSample.sourceRevision.source.id","AppleHealthKitSample.sourceRevision.source.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"AppleHealthKitSample.sourceRevision.source.extension","AppleHealthKitSample.sourceRevision.source.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.source.modifierExtension","AppleHealthKitSample.sourceRevision.source.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.source.bundleIdentifier","AppleHealthKitSample.sourceRevision.source.bundleIdentifier","","","",1,1,"","","","string {[]} {[]}
","The source’s bundle identifier.","The source’s bundle identifier.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.source.bundleIdentifier",1,1,"",""
"AppleHealthKitSample.sourceRevision.source.name","AppleHealthKitSample.sourceRevision.source.name","","","",1,1,"","","","string {[]} {[]}
","The source’s name.","The source’s name.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.source.name",1,1,"",""
"AppleHealthKitSample.sourceRevision.version","AppleHealthKitSample.sourceRevision.version","","","",0,1,"","","","string {[]} {[]}
","A string that identifies a particular version of the source.","A string that identifies a particular version of the source.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.version",0,1,"",""
"AppleHealthKitSample.sourceRevision.operatingSystemVersion","AppleHealthKitSample.sourceRevision.operatingSystemVersion","","","",1,1,"","","","BackboneElement {[]} {[]}
","A string that identifies the operating system used to save a sample.","A string that identifies the operating system used to save a sample.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.operatingSystemVersion",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.id","AppleHealthKitSample.sourceRevision.operatingSystemVersion.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.extension","AppleHealthKitSample.sourceRevision.operatingSystemVersion.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.modifierExtension","AppleHealthKitSample.sourceRevision.operatingSystemVersion.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.majorVersion","AppleHealthKitSample.sourceRevision.operatingSystemVersion.majorVersion","","","",1,1,"","","","integer {[]} {[]}
","The major release number, such as 10 in version 10.9.3.","The major release number, such as 10 in version 10.9.3.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.operatingSystemVersion.majorVersion",1,1,"",""
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.minorVersion","AppleHealthKitSample.sourceRevision.operatingSystemVersion.minorVersion","","","",1,1,"","","","integer {[]} {[]}
","The minor release number, such as 9 in version 10.9.3.","The minor release number, such as 9 in version 10.9.3.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.operatingSystemVersion.minorVersion",1,1,"",""
"AppleHealthKitSample.sourceRevision.operatingSystemVersion.patchVersion","AppleHealthKitSample.sourceRevision.operatingSystemVersion.patchVersion","","","",1,1,"","","","integer {[]} {[]}
","The update release number, such as 3 in version 10.9.3.","The update release number, such as 3 in version 10.9.3.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.operatingSystemVersion.patchVersion",1,1,"",""
"AppleHealthKitSample.sourceRevision.productType","AppleHealthKitSample.sourceRevision.productType","","","",0,1,"","","","string {[]} {[]}
","A string that identifies the device used to save a sample.","A string that identifies the device used to save a sample.","","","","","","","","","",,,,,"",,,,"AppleHealthKitObject.sourceRevision.productType",0,1,"",""
"AppleHealthKitSample.startDate","AppleHealthKitSample.startDate","","","",0,1,"","","","dateTime {[]} {[]}
","The sample's start date.","The sample's start date.","","","","","","","","","",,,,,"",,,,"AppleHealthKitSample.startDate",0,1,"",""
"AppleHealthKitSample.endDate","AppleHealthKitSample.endDate","","","",0,1,"","","","dateTime {[]} {[]}
","The sample's end date.","The sample's end date.","","","","","","","","","",,,,,"",,,,"AppleHealthKitSample.endDate",0,1,"",""
"AppleHealthKitSample.hasUndeterminedDuration","AppleHealthKitSample.hasUndeterminedDuration","","","",0,1,"","","","boolean {[]} {[]}
","Indicates whether the sample has an unknown duration.","Indicates whether the sample has an unknown duration.","","","","","","","","","",,,,,"",,,,"AppleHealthKitSample.hasUndeterminedDuration",0,1,"",""
"AppleHealthKitSample.sampleType","AppleHealthKitSample.sampleType","","","",1,1,"","","","code {[]} {[]}
","The sample type.","The sample type.","","","","","","","","","",,"extensible","","http://hl7.org/fhir/uv/phr/ValueSet/apple-health-kit-sample-type-value-set","",,,,"AppleHealthKitSample.sampleType",1,1,"",""
